Risk Type,Risk Greek,MRX File,Product
FX,Delta,TEMP_REPLACE_ME - fx_delta_xva,XVA
FX,Delta,TEMP_REPLACE_ME - fx_delta_hedges,Hedges
FX,Gamma,TEMP_REPLACE_ME - fx_gamma_xva,XVA
FX,Gamma,TEMP_REPLACE_ME - fx_gamma_hedges,Hedges
FX,Vega,TEMP_REPLACE_ME - fx_vega_xva,XVA
FX,Vega,TEMP_REPLACE_ME - fx_vega_hedges,Hedges
IR,Delta,TEMP_REPLACE_ME - ir_delta_xva,XVA
IR,Delta,TEMP_REPLACE_ME - ir_delta_hedges,Hedges
IR,Gamma,TEMP_REPLACE_ME - ir_gamma_xva,XVA
IR,Gamma,TEMP_REPLACE_ME - ir_gamma_hedges,Hedges
IR,DeltaVega,TEMP_REPLACE_ME - ir_deltavega_xva,XVA
IR,DeltaVega,TEMP_REPLACE_ME - ir_deltavega_hedges,Hedges
IR,XCCY,TEMP_REPLACE_ME - ir_xccy_xva,XVA
IR,XCCY,TEMP_REPLACE_ME - ir_xccy_hedges,Hedges
IR,XCCYVega,TEMP_REPLACE_ME - ir_xccyvega_xva,XVA
IR,XCCYVega,TEMP_REPLACE_ME - ir_xccyvega_hedges,Hedges
IR,Inflation,TEMP_REPLACE_ME - ir_inflation_xva,XVA
IR,Inflation,TEMP_REPLACE_ME - ir_inflation_hedges,Hedges
IR,InflationVega,TEMP_REPLACE_ME - ir_inflationvega_xva,XVA
IR,InflationVega,TEMP_REPLACE_ME - ir_inflationvega_hedges,Hedges
IR,Basis,TEMP_REPLACE_ME - ir_basis_xva,XVA
IR,Basis,TEMP_REPLACE_ME - ir_basis_hedges,Hedges
IR,Bond,TEMP_REPLACE_ME - ir_bond_xva,XVA
IR,Bond,TEMP_REPLACE_ME - ir_bond_hedges,Hedges
Credit,Delta,TEMP_REPLACE_ME - credit_delta_xva,XVA
Credit,Delta,TEMP_REPLACE_ME - credit_delta_hedges,Hedges
Credit,Vega,TEMP_REPLACE_ME - credit_vega_xva,XVA
Credit,Vega,TEMP_REPLACE_ME - credit_vega_hedges,Hedges
Commo,Delta,TEMP_REPLACE_ME - commo_delta_xva,XVA
Commo,Delta,TEMP_REPLACE_ME - commo_delta_hedges,Hedges
Commo,Vega,TEMP_REPLACE_ME - commo_vega_xva,XVA
Commo,Vega,TEMP_REPLACE_ME - commo_vega_hedges,Hedges
