Source Type,Underlying,Tenor Swap,Tenor Option,Portfolio,Group,Risk,dRisk,Vol Score,Risk SP01,dRisk SP01,Risk PSP01,dRisk PSP01,Risk PM01,dRisk PM01,Risk PM01P,dRisk PM01P,Risk Theta,dRisk Theta,Risk JTD,dRisk JTD
fx/delta,FAKE_REPLACE_ME - EUR/USD,,,FAKE_REPLACE_ME - BOOK-0001 · TRADER-001,G10,1918494,169628,58.244,,,,,,,,,,,,
fx/delta,FAKE_REPLACE_ME - USD/JPY,,,FAKE_REPLACE_ME - BOOK-0002 · TRADER-001,G10,1831254,-481742,16.213,,,,,,,,,,,,
fx/delta,FAKE_REPLACE_ME - GBP/USD,,,FAKE_REPLACE_ME - BOOK-0003 · TRADER-002,G10,-3275173,364554,31.087,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - EUR/USD,,,FAKE_REPLACE_ME - BOOK-0004 · TRADER-002,G10,4482052,-353246,86.716,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - USD/JPY,,,FAKE_REPLACE_ME - BOOK-0005 · TRADER-003,G10,3873659,-122968,76.081,,,,,,,,,,,,
fx/gamma,FAKE_REPLACE_ME - GBP/USD,,,FAKE_REPLACE_ME - BOOK-0006 · TRADER-003,G10,2520417,226014,88.455,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0007 · TRADER-004,G10,2162263,152766,19.873,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0008 · TRADER-004,G10,-1416151,-62658,83.511,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0009 · TRADER-005,G10,2626881,45034,6.161,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0010 · TRADER-005,G10,4343483,-139965,62.866,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0011 · TRADER-006,G10,531017,-325225,14.375,,,,,,,,,,,,
