Source Type,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Open
fx/delta,FAKE_REPLACE_ME - EUR/USD,,,,,1.123625
fx/delta,FAKE_REPLACE_ME - USD/JPY,,,,,1.096437
fx/delta,FAKE_REPLACE_ME - GBP/USD,,,,,1.117066
fx/gamma,FAKE_REPLACE_ME - EUR/USD,,,,,0.905582
fx/gamma,FAKE_REPLACE_ME - USD/JPY,,,,,0.973937
fx/gamma,FAKE_REPLACE_ME - GBP/USD,,,,,0.911924
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1M,,0,,0.204941
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 3M,,1,,0.077804
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 6M,,2,,0.212678
fx/vega,FAKE_REPLACE_ME - EUR/USD Vol,FAKE_REPLACE_ME - 1Y,,3,,0.302567
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1M,,0,,0.34424
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 3M,,1,,0.149333
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 6M,,2,,0.342395
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 1Y,,3,,0.251207
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1M,,0,,0.238409
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 3M,,1,,0.076202
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 6M,,2,,0.076367
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1Y,,3,,0.099734
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 6M,,0,,0.05937
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,1,,0.040807
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,2,,0.016787
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,3,,0.019458
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,,4,,0.023583
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 30Y,,5,,0.013276
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 6M,,0,,0.063086
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,,1,,0.023937
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,,2,,0.029047
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,,3,,0.033975
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 10Y,,4,,0.055181
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 30Y,,5,,0.079071
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 6M,,0,,0.038446
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,,1,,0.068436
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,,2,,0.040874
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,,3,,0.032934
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 10Y,,4,,0.051926
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 30Y,,5,,0.027055
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,0,,0.014627
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,1,,0.018155
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,2,,0.0272
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,,3,,0.018783
