Source Type,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Current
fx/delta,TEMP_REPLACE_ME - EUR/USD,,,,,1.121425
fx/delta,TEMP_REPLACE_ME - USD/JPY,,,,,1.097537
fx/delta,TEMP_REPLACE_ME - GBP/USD,,,,,1.116266
fx/gamma,TEMP_REPLACE_ME - EUR/USD,,,,,0.907982
fx/gamma,TEMP_REPLACE_ME - USD/JPY,,,,,0.972737
fx/gamma,TEMP_REPLACE_ME - GBP/USD,,,,,0.913324
fx/vega,TEMP_REPLACE_ME - EUR/USD Vol,TEMP_REPLACE_ME - 1M,,0,,0.195441
fx/vega,TEMP_REPLACE_ME - EUR/USD Vol,TEMP_REPLACE_ME - 3M,,1,,0.085804
fx/vega,TEMP_REPLACE_ME - EUR/USD Vol,TEMP_REPLACE_ME - 6M,,2,,0.208178
fx/vega,TEMP_REPLACE_ME - EUR/USD Vol,TEMP_REPLACE_ME - 1Y,,3,,0.309067
fx/vega,TEMP_REPLACE_ME - USD/JPY Vol,TEMP_REPLACE_ME - 1M,,0,,0.35174
fx/vega,TEMP_REPLACE_ME - USD/JPY Vol,TEMP_REPLACE_ME - 3M,,1,,0.149833
fx/vega,TEMP_REPLACE_ME - USD/JPY Vol,TEMP_REPLACE_ME - 6M,,2,,0.344895
fx/vega,TEMP_REPLACE_ME - USD/JPY Vol,TEMP_REPLACE_ME - 1Y,,3,,0.239207
fx/vega,TEMP_REPLACE_ME - GBP/USD Vol,TEMP_REPLACE_ME - 1M,,0,,0.245409
fx/vega,TEMP_REPLACE_ME - GBP/USD Vol,TEMP_REPLACE_ME - 3M,,1,,0.075202
fx/vega,TEMP_REPLACE_ME - GBP/USD Vol,TEMP_REPLACE_ME - 6M,,2,,0.083367
fx/vega,TEMP_REPLACE_ME - GBP/USD Vol,TEMP_REPLACE_ME - 1Y,,3,,0.096734
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 6M,,0,,0.05977
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 1Y,,1,,0.039657
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 2Y,,2,,0.016287
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 5Y,,3,,0.018508
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 10Y,,4,,0.022883
ir/delta,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 30Y,,5,,0.013426
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 6M,,0,,0.063836
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 1Y,,1,,0.025037
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 2Y,,2,,0.029847
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 5Y,,3,,0.034326
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 10Y,,4,,0.055031
ir/delta,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 30Y,,5,,0.079171
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 6M,,0,,0.039046
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 1Y,,1,,0.069586
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 2Y,,2,,0.041374
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 5Y,,3,,0.033634
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 10Y,,4,,0.051576
ir/delta,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 30Y,,5,,0.028255
ir/gamma,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 1Y,,0,,0.013627
ir/gamma,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 2Y,,1,,0.018005
ir/gamma,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 5Y,,2,,0.02625
ir/gamma,TEMP_REPLACE_ME - USD SOFR,TEMP_REPLACE_ME - 10Y,,3,,0.018233
ir/gamma,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 1Y,,0,,0.026366
ir/gamma,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 2Y,,1,,0.010278
ir/gamma,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 5Y,,2,,0.043387
ir/gamma,TEMP_REPLACE_ME - EUR ESTR,TEMP_REPLACE_ME - 10Y,,3,,0.046527
ir/gamma,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 1Y,,0,,0.076853
ir/gamma,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 2Y,,1,,0.038331
ir/gamma,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 5Y,,2,,0.054586
ir/gamma,TEMP_REPLACE_ME - GBP SONIA,TEMP_REPLACE_ME - 10Y,,3,,0.052756
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1M,0,0,0.306991
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 3M,0,1,0.171732
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 6M,0,2,0.299844
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1Y,0,3,0.060337
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1M,1,0,0.341432
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,1,1,0.144626
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,1,2,0.3059
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,1,3,0.208393
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1M,2,0,0.300567
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 3M,2,1,0.169097
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,2,2,0.166278
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,2,3,0.184759
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1M,3,0,0.278846
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,3,1,0.354403
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,3,2,0.346128
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,3,3,0.323731
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1M,4,0,0.107784
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,4,1,0.096591
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,4,2,0.042123
ir/deltavega,TEMP_REPLACE_ME - USD SOFR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,4,3,0.191402
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1M,0,0,0.285299
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 3M,0,1,0.257423
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 6M,0,2,0.118253
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1Y,0,3,0.145501
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1M,1,0,0.200786
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,1,1,0.225513
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,1,2,0.338122
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,1,3,0.267231
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1M,2,0,0.151918
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 3M,2,1,0.298419
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,2,2,0.253383
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,2,3,0.062726
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1M,3,0,0.185529
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,3,1,0.155666
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,3,2,0.309791
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,3,3,0.319711
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1M,4,0,0.216662
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,4,1,0.332765
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,4,2,0.268147
ir/deltavega,TEMP_REPLACE_ME - EUR ESTR Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,4,3,0.300723
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1M,0,0,0.290604
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 3M,0,1,0.15936
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 6M,0,2,0.2209
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 6M,TEMP_REPLACE_ME - 1Y,0,3,0.23087
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1M,1,0,0.067268
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,1,1,0.32326
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,1,2,0.237906
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,1,3,0.315095
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1M,2,0,0.190509
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 3M,2,1,0.255453
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 6M,2,2,0.322483
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 2Y,TEMP_REPLACE_ME - 1Y,2,3,0.137121
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1M,3,0,0.085167
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,3,1,0.263605
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,3,2,0.345606
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,3,3,0.256833
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1M,4,0,0.195678
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,4,1,0.127479
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,4,2,0.31275
ir/deltavega,TEMP_REPLACE_ME - GBP SONIA Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,4,3,0.086032
ir/xccy,TEMP_REPLACE_ME - EUR/USD XCCY,TEMP_REPLACE_ME - 1Y,,0,,0.023389
ir/xccy,TEMP_REPLACE_ME - EUR/USD XCCY,TEMP_REPLACE_ME - 2Y,,1,,0.011414
ir/xccy,TEMP_REPLACE_ME - EUR/USD XCCY,TEMP_REPLACE_ME - 5Y,,2,,0.009507
ir/xccy,TEMP_REPLACE_ME - EUR/USD XCCY,TEMP_REPLACE_ME - 10Y,,3,,0.031149
ir/xccy,TEMP_REPLACE_ME - GBP/USD XCCY,TEMP_REPLACE_ME - 1Y,,0,,0.015204
ir/xccy,TEMP_REPLACE_ME - GBP/USD XCCY,TEMP_REPLACE_ME - 2Y,,1,,0.066231
ir/xccy,TEMP_REPLACE_ME - GBP/USD XCCY,TEMP_REPLACE_ME - 5Y,,2,,0.053799
ir/xccy,TEMP_REPLACE_ME - GBP/USD XCCY,TEMP_REPLACE_ME - 10Y,,3,,0.040092
ir/xccy,TEMP_REPLACE_ME - USD/JPY XCCY,TEMP_REPLACE_ME - 1Y,,0,,0.033836
ir/xccy,TEMP_REPLACE_ME - USD/JPY XCCY,TEMP_REPLACE_ME - 2Y,,1,,0.020671
ir/xccy,TEMP_REPLACE_ME - USD/JPY XCCY,TEMP_REPLACE_ME - 5Y,,2,,0.030722
ir/xccy,TEMP_REPLACE_ME - USD/JPY XCCY,TEMP_REPLACE_ME - 10Y,,3,,0.075888
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,0,0,0.339121
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,0,1,0.17175
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,0,2,0.133612
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 2Y,0,3,0.219574
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 3M,1,0,0.106303
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 6M,1,1,0.193711
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 1Y,1,2,0.080477
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 2Y,1,3,0.242271
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,2,0,0.078969
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,2,1,0.167286
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,2,2,0.141629
