Portfolio,Product,Activity,SignoffGroup,Category
FAKE_REPLACE_ME - BOOK_A,XVA,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG_ALPHA,FAKE_REPLACE_ME - Core
FAKE_REPLACE_ME - BOOK_B,XVA,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG_ALPHA,FAKE_REPLACE_ME - Core
FAKE_REPLACE_ME - BOOK_C,XVA,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG_BETA,FAKE_REPLACE_ME - Flow
FAKE_REPLACE_ME - BOOK_D,Hedges,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG_BETA,FAKE_REPLACE_ME - Hedge
FAKE_REPLACE_ME - BOOK_E,Hedges,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG_GAMMA,FAKE_REPLACE_ME - Hedge
FAKE_REPLACE_ME - BOOK-0001 · TRADER-001,XVA,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-001,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0002 · TRADER-001,Hedges,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-001,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0003 · TRADER-002,XVA,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-002,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0004 · TRADER-002,Hedges,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-002,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0005 · TRADER-003,XVA,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-003,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0006 · TRADER-003,Hedges,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-003,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0007 · TRADER-004,XVA,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-004,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0008 · TRADER-004,Hedges,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-004,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0009 · TRADER-005,XVA,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-005,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0010 · TRADER-005,Hedges,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-005,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0011 · TRADER-006,XVA,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-006,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0012 · TRADER-006,Hedges,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-006,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0013 · TRADER-007,XVA,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-007,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0014 · TRADER-007,Hedges,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-007,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0015 · TRADER-008,XVA,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-008,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0016 · TRADER-008,Hedges,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-008,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0017 · TRADER-009,XVA,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-009,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0018 · TRADER-009,Hedges,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-009,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0019 · TRADER-010,XVA,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-010,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0020 · TRADER-010,Hedges,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-010,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0021 · TRADER-011,XVA,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-011,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0022 · TRADER-011,Hedges,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-011,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0023 · TRADER-012,XVA,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-012,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0024 · TRADER-012,Hedges,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-012,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0025 · TRADER-013,XVA,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-013,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0026 · TRADER-013,Hedges,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-013,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0027 · TRADER-014,XVA,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-014,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0028 · TRADER-014,Hedges,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-014,FAKE_REPLACE_ME - Business 14
