Risk Type,Risk Greek,PL,Risk,dRisk
FX,Delta,25000,2500000,250000
FX,Gamma,25000,2500000,250000
FX,Vega,25000,2500000,250000
IR,Delta,25000,2500000,250000
IR,Gamma,25000,2500000,250000
IR,DeltaVega,25000,2500000,250000
IR,XCCY,25000,2500000,250000
IR,XCCYVega,25000,2500000,250000
IR,Inflation,25000,2500000,250000
IR,InflationVega,25000,2500000,250000
IR,Basis,25000,2500000,250000
IR,Bond,25000,2500000,250000
Credit,Delta,25000,2500000,250000
Credit,Vega,25000,2500000,250000
Commo,Delta,25000,2500000,250000
Commo,Vega,25000,2500000,250000
Cash Flow,New,25000,2500000,250000
Commo,XGamma,25000,2500000,250000
Commo,XGamma Vega,25000,2500000,250000
Credit,XGamma,25000,2500000,250000
Credit,XGamma Vega,25000,2500000,250000
FX,XGamma,25000,2500000,250000
FX,XGamma Vega,25000,2500000,250000
IR,XGamma,25000,2500000,250000
IR,XGamma Vega,25000,2500000,250000
